"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"Besluit"	"{D479ED7B-B77F-46e8-846F-73EE98427E0C}"	""	""	""	""	""	""	""	""	""	"http://data.vlaanderen.be/ns/"	"besluit"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"Besluit"	"Besluit"	"{7E507387-B954-4522-A77C-61DB8BA1D9F2}"	"Legale Verschijningsvorm"	""	""	""	"Besluit"	"De authentieke schriftelijke neerslag van een beslissing van een bestuursorgaan. Deze beslissing houdt een rechtshandeling in waarbij sprake is van een beoogd rechtsgevolg."	""	""	"false"	"http://data.vlaanderen.be/ns/besluit#"	"Besluit"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/vocab/cpsv#FormalFramework, http://data.europa.eu/eli/ontology#LegalExpression"	""	""
"CLASS"	"Besluit"	"Artikel"	"{82CAC550-E031-4238-A6DB-EDE1751C9FCC}"	"Legale Verschijningsvorm"	""	""	""	"Artikel"	"Formeel afgebakend onderdeel van een besluit, dat een of meer van de beoogde rechtsgevolgen beschrijft."	""	""	"false"	"http://data.vlaanderen.be/ns/besluit#"	"Artikel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/vocab/cpsv#FormalFramework, http://data.europa.eu/eli/ontology#LegalExpression"	""	""
"CLASS"	"Besluit"	"Stemming"	"{5149EFDE-0D08-479b-A7B2-7617FC79B259}"	"Vergaderactiviteit"	""	""	""	"Stemming"	"Geformaliseerde handeling waarbij de stemgerechtigde leden van een bestuursorgaan hun keuze te kennen geven."	""	""	"false"	"http://data.vlaanderen.be/ns/besluit#"	"Stemming"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/besluit#Vergaderactiviteit"	""	""
"CLASS"	"Besluit"	"Zitting"	"{E483DB19-FBB0-48bd-8B3A-B5FA75CF7E63}"	"Vergaderactiviteit"	""	""	""	"Zitting"	"Een geformaliseerde samenkomst van de leden van een bestuurorgaan met het doel om de aangelegenheden te regelen waarvoor het bevoegd is."	""	""	"false"	"http://data.vlaanderen.be/ns/besluit#"	"Zitting"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/besluit#Vergaderactiviteit"	""	""
"CLASS"	"Besluit"	"Agendapunt"	"{757FD45B-A8DA-42b4-9A1E-E0AD8CBE1527}"	""	""	""	""	"Agendapunt"	"Formeel aanvaard te behandelen onderwerp op een zitting."	""	""	"false"	"http://data.vlaanderen.be/ns/besluit#"	"Agendapunt"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"External"	"Document"	"{2DCD769E-5ADD-4437-91BC-ED7FB2002D91}"	""	""	""	""	"Document"	"Een origineel werk in de brede zin (een verslag, een opname, een boek...)."	""	""	"true"	"http://xmlns.com/foaf/0.1/"	"Document"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"Besluit"	"Behandeling van Agendapunt"	"{EDC25370-7821-4363-A69F-0BF2FE4066C5}"	"Vergaderactiviteit"	""	""	""	"Behandeling van Agendapunt"	"De uitvoering van de acties om een agendapunt te verwerken tijdens een zitting."	""	""	"false"	"http://data.vlaanderen.be/ns/besluit#"	"BehandelingVanAgendapunt"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/besluit#Vergaderactiviteit"	""	""
"CLASS"	"Besluit"	"Vergaderactiviteit"	"{8898761C-B2B2-42f2-A62D-1CB2A4CBB49E}"	""	""	""	""	"Vergaderactiviteit"	"Een vergadering of fase ervan."	""	""	"false"	"http://data.vlaanderen.be/ns/besluit#"	"Vergaderactiviteit"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/prov#Activity"	""	""
"CLASS"	"External"	"Legale Verschijningsvorm"	"{FB68E678-0039-4b5a-87A8-854865C7CDA9}"	""	""	""	""	"Legale Verschijningsvorm"	"Een legale verschijningsvorm is een intellectuele realisatie van een legale resource onder de vorm van een opeenvolging van tekens (meestal alphanumerieke tekens)."	""	""	"true"	"http://data.europa.eu/eli/ontology#"	"LegalExpression"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
